É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/05 20:35:48

,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl
2025/9/17,29.3,8,1,23.5,8,0,1,8,1,9.1,,8,3.6,8,1,,0,33.5,8,1,27.0,8,26.2,8,1,20.8,8
2025/9/18,28.3,8,1,23.3,8,27.5,0,8,1,9.2,,8,3.8,8,1,,0,31.8,8,1,26.8,8,22.6,8,1,20.6,8
2025/9/19,23.0,8,1,23.1,8,9.0,0,8,1,9.3,,8,3.0,8,1,,0,26.5,8,1,26.5,8,19.8,8,1,20.4,8
2025/9/20,24.2,8,1,22.8,8,4.0,0,8,1,9.3,,8,3.0,8,1,,0,27.3,8,1,26.3,8,20.9,8,1,20.1,8
2025/9/21,26.5,8,1,22.6,8,15.5,0,8,1,9.2,,8,4.7,8,1,,0,31.7,8,1,26.1,8,19.6,8,1,19.9,8
2025/9/22,22.9,8,1,22.4,8,0,1,8,1,9.1,,8,3.9,8,1,,0,26.4,8,1,25.8,8,20.2,8,1,19.7,8
2025/9/23,22.6,8,1,22.2,8,0,1,8,1,8.9,,8,3.1,8,1,,0,26.3,8,1,25.6,8,19.9,8,1,19.5,8
2025/9/24,22.7,8,1,22.0,8,0,1,8,1,8.7,,8,3.5,8,1,,0,27.0,8,1,25.4,8,18.9,8,1,19.3,8
2025/9/25,24.0,8,1,21.8,8,0,1,8,1,8.5,,8,2.5,8,1,,0,28.1,8,1,25.3,8,20.3,8,1,19.1,8
2025/9/26,26.1,8,1,21.7,8,0,1,8,1,8.3,,8,2.3,8,1,,0,31.0,8,1,25.1,8,22.1,8,1,18.9,8
2025/9/27,24.9,8,1,21.5,8,2.0,0,8,1,8.2,,8,2.4,8,1,,0,27.6,8,1,25.0,8,23.0,8,1,18.8,8
2025/9/28,25.1,8,1,21.4,8,0.0,0,8,1,8.1,,8,3.0,8,1,,0,28.7,8,1,24.8,8,22.4,8,1,18.6,8
2025/9/29,26.9,8,1,21.2,8,0,1,8,1,8.2,,8,4.7,8,1,,0,30.8,8,1,24.7,8,22.6,8,1,18.5,8
2025/9/30,23.9,8,1,21.1,8,0.0,0,8,1,8.3,,8,3.2,8,1,,0,27.2,8,1,24.5,8,22.0,8,1,18.4,8
2025/10/1,20.8,8,1,21.0,8,39.0,0,8,1,8.5,,8,2.5,8,1,,0,23.5,8,1,24.4,8,19.3,8,1,18.2,8
2025/10/2,22.1,5,1,20.8,8,0,1,8,1,8.8,,8,1.8,8,1,,0,26.8,5,1,24.3,8,18.4,5,1,18.1,8
2025/10/3,22.9,8,1,20.7,8,0,1,8,1,9.1,,8,2.8,8,1,,0,25.4,8,1,24.1,8,20.0,8,1,18.0,8
2025/10/4,21.9,8,1,20.6,8,1.5,0,8,1,9.4,,8,2.9,8,1,,0,24.7,8,1,24.0,8,20.9,8,1,17.8,8
2025/10/5,24.1,8,1,20.4,8,0,1,8,1,9.6,,8,2.5,8,1,,0,28.5,8,1,23.9,8,20.4,8,1,17.7,8
2025/10/6,24.6,8,1,20.3,8,0.0,0,8,1,9.8,,8,2.7,8,1,,0,30.1,8,1,23.7,8,22.2,8,1,17.5,8
2025/10/7,22.2,8,1,20.1,8,0.0,0,8,1,9.8,,8,3.8,8,1,,0,25.6,8,1,23.5,8,20.8,8,1,17.4,8
2025/10/8,23.7,8,1,19.9,8,0.0,0,8,1,9.8,,8,2.9,8,1,,0,27.1,8,1,23.4,8,19.8,8,1,17.2,8
2025/10/9,21.7,8,1,19.8,8,0.0,0,8,1,9.6,,8,3.7,8,1,,0,25.1,8,1,23.2,8,18.9,8,1,17.0,8
2025/10/10,20.7,8,1,19.6,8,0,1,8,1,9.4,,8,2.6,8,1,,0,23.7,8,1,23.1,8,18.2,8,1,16.8,8
2025/10/11,17.9,8,1,19.4,8,8.5,0,8,1,9.1,,8,3.1,8,1,,0,21.2,8,1,22.9,8,16.2,8,1,16.6,8
2025/10/12,20.0,8,1,19.2,8,0.5,0,8,1,8.7,,8,1.9,8,1,,0,22.7,8,1,22.7,8,16.2,8,1,16.5,8
2025/10/13,21.6,8,1,19.1,8,0.0,0,8,1,8.3,,8,3.4,8,1,,0,24.4,8,1,22.5,8,19.8,8,1,16.3,8
2025/10/14,19.4,8,1,18.9,8,0.0,0,8,1,8.0,,8,2.6,8,1,,0,21.0,8,1,22.3,8,17.1,8,1,16.1,8
2025/10/15,17.6,8,1,18.7,8,7.0,0,8,1,7.7,,8,3.3,8,1,,0,20.8,8,1,22.1,8,15.7,8,1,15.8,8
2025/10/16,18.3,8,1,18.5,8,10.5,0,8,1,7.4,,8,2.8,8,1,,0,20.6,8,1,22.0,8,16.3,8,1,15.6,8
2025/10/17,20.6,8,1,18.3,8,0.5,0,8,1,7.2,,8,3.2,8,1,,0,24.5,8,1,21.8,8,17.7,8,1,15.4,8
2025/10/18,21.4,8,1,18.1,8,0.0,0,8,1,7.1,,8,3.2,8,1,,0,25.9,8,1,21.6,8,16.9,8,1,15.2,8
2025/10/19,20.7,8,1,17.9,8,0.0,0,8,1,6.9,,8,3.2,8,1,,0,24.0,8,1,21.4,8,17.4,8,1,15.0,8
2025/10/20,17.7,8,1,17.7,8,4.5,0,8,1,6.8,,8,3.0,8,1,,0,19.9,8,1,21.2,8,15.5,8,1,14.8,8
2025/10/21,16.0,8,1,17.5,8,0.0,0,8,1,6.7,,8,2.6,8,1,,0,17.6,8,1,21.0,8,14.4,8,1,14.6,8
2025/10/22,13.0,8,1,17.4,8,12.0,0,8,1,6.6,,8,4.0,8,1,,0,16.0,8,1,20.9,8,11.4,8,1,14.4,8
2025/10/23,14.6,8,1,17.2,8,0.0,0,8,1,6.5,,8,4.7,8,1,,0,17.4,8,1,20.7,8,12.1,8,1,14.2,8
2025/10/24,13.5,8,1,17.1,8,5.5,0,8,1,6.3,,8,4.4,8,1,,0,15.8,8,1,20.6,8,12.5,8,1,14.0,8
2025/10/25,12.9,8,1,16.9,8,10.0,0,8,1,6.1,,8,5.1,8,1,,0,13.7,8,1,20.4,8,12.1,8,1,13.8,8
2025/10/26,15.2,8,1,16.8,8,8.0,0,8,1,5.9,,8,3.4,8,1,,0,16.6,8,1,20.3,8,13.5,8,1,13.7,8
2025/10/27,18.8,8,1,16.6,8,0,1,8,1,5.6,,8,2.3,8,1,,0,24.1,8,1,20.2,8,15.5,8,1,13.5,8
2025/10/28,17.0,8,1,16.5,8,0,1,8,1,5.3,,8,4.2,8,1,,0,21.1,8,1,20.0,8,14.1,8,1,13.3,8
2025/10/29,14.5,8,1,16.3,8,0,1,8,1,5.0,,8,3.8,8,1,,0,16.7,8,1,19.9,8,13.4,8,1,13.1,8
2025/10/30,14.8,8,1,16.2,8,0,1,8,1,4.7,,8,3.7,8,1,,0,19.0,8,1,19.8,8,10.7,8,1,13.0,8
2025/10/31,14.7,8,1,16.0,8,37.5,0,8,1,4.4,,8,4.6,8,1,,0,16.9,8,1,19.6,8,13.4,8,1,12.8,8
2025/11/1,17.1,8,1,15.9,8,0.0,0,8,1,4.1,,8,1.9,8,1,,0,22.2,8,1,19.5,8,13.3,8,1,12.6,8
2025/11/2,16.1,8,1,15.7,8,0,1,8,1,3.9,,8,2.6,8,1,,0,19.0,8,1,19.4,8,13.0,8,1,12.5,8
2025/11/3,14.7,8,1,15.6,8,0,1,8,1,3.7,,8,4.7,8,1,,0,19.6,8,1,19.2,8,11.1,8,1,12.3,8
2025/11/4,13.7,8,1,15.4,8,0,1,8,1,3.6,,8,3.0,8,1,,0,16.9,8,1,19.1,8,10.4,8,1,12.2,8
2025/11/5,13.3,8,1,15.3,8,0.0,0,8,1,3.5,,8,3.6,8,1,,0,15.9,8,1,18.9,8,10.3,8,1,12.0,8
2025/11/6,15.3,8,1,15.1,8,2.5,0,8,1,3.4,,8,4.8,8,1,,0,18.1,8,1,18.7,8,11.2,8,1,11.9,8
2025/11/7,16.3,8,1,14.9,8,0,1,8,1,3.4,,8,3.8,8,1,,0,21.7,8,1,18.6,8,11.5,8,1,11.7,8
2025/11/8,14.7,8,1,14.8,8,0.0,0,8,1,3.5,,8,3.2,8,1,,0,16.5,8,1,18.4,8,13.4,8,1,11.5,8
2025/11/9,12.5,8,1,14.6,8,13.0,0,8,1,3.5,,8,2.8,8,1,,0,14.9,8,1,18.2,8,10.1,8,1,11.4,8
2025/11/10,14.5,8,1,14.4,8,0.0,0,8,1,3.6,,8,3.2,8,1,,0,20.8,8,1,18.0,8,11.0,8,1,11.2,8
2025/11/11,12.8,8,1,14.3,8,0,1,8,1,3.6,,8,4.6,8,1,,0,15.9,8,1,17.8,8,9.9,8,1,11.0,8
2025/11/12,12.3,8,1,14.1,8,0,1,8,1,3.7,,8,2.9,8,1,,0,14.7,8,1,17.7,8,10.3,8,1,10.8,8
2025/11/13,11.3,8,1,13.9,8,0.0,0,8,1,3.7,,8,2.3,8,1,,0,12.8,8,1,17.5,8,9.0,8,1,10.6,8
2025/11/14,14.5,8,1,13.7,8,0,1,8,1,3.8,,8,2.6,8,1,,0,19.4,8,1,17.3,8,9.3,8,1,10.4,8
2025/11/15,14.5,8,1,13.5,8,0,1,8,1,3.8,,8,3.0,8,1,,0,17.8,8,1,17.1,8,12.6,8,1,10.2,8
2025/11/16,13.8,8,1,13.3,8,0,1,8,1,3.9,,8,2.5,8,1,,0,17.5,8,1,16.9,8,10.1,8,1,10.0,8
2025/11/17,16.5,8,1,13.1,8,0,1,8,1,3.9,,8,4.1,8,1,,0,21.9,8,1,16.7,8,10.9,8,1,9.8,8
2025/11/18,12.8,8,1,12.9,8,2.0,0,8,1,3.9,,8,3.6,8,1,,0,15.7,8,1,16.6,8,8.8,8,1,9.6,8
2025/11/19,9.8,8,1,12.7,8,0,1,8,1,3.9,,8,2.9,8,1,,0,13.5,8,1,16.4,8,7.0,8,1,9.4,8
2025/11/20,10.7,8,1,12.5,8,0.0,0,8,1,3.9,,8,2.6,8,1,,0,14.3,8,1,16.2,8,7.9,8,1,9.2,8
2025/11/21,11.7,8,1,12.4,8,0,1,8,1,3.9,,8,2.2,8,1,,0,16.2,8,1,16.1,8,6.6,8,1,9.1,8
2025/11/22,13.2,8,1,12.2,8,0,1,8,1,3.9,,8,2.4,8,1,,0,16.9,8,1,15.9,8,9.4,8,1,8.9,8
2025/11/23,12.5,8,1,12.0,8,0.0,0,8,1,3.8,,8,3.2,8,1,,0,15.6,8,1,15.7,8,10.5,8,1,8.7,8
2025/11/24,13.0,8,1,11.9,8,0,1,8,1,3.8,,8,1.7,8,1,,0,18.0,8,1,15.6,8,8.9,8,1,8.6,8
2025/11/25,11.4,8,1,11.7,8,0.0,0,8,1,3.7,,8,2.3,8,1,,0,12.4,8,1,15.4,8,9.3,8,1,8.4,8
2025/11/26,12.9,8,1,11.6,8,0,1,8,1,3.7,,8,3.9,8,1,,0,18.6,8,1,15.3,8,7.7,8,1,8.3,8
2025/11/27,12.5,8,1,11.4,8,1.5,0,8,1,3.6,,8,1.9,8,1,,0,15.0,8,1,15.2,8,9.3,8,1,8.1,8
2025/11/28,14.9,8,1,11.3,8,0.0,0,8,1,3.5,,8,3.8,8,1,,0,19.5,8,1,15.0,8,10.9,8,1,8.0,8
2025/11/29,11.6,8,1,11.2,8,0,1,8,1,3.5,,8,3.3,8,1,,0,13.7,8,1,14.9,8,9.3,8,1,7.8,8
2025/11/30,11.3,8,1,11.0,8,0,1,8,1,3.4,,8,2.4,8,1,,0,15.9,8,1,14.7,8,7.4,8,1,7.7,8
2025/12/1,14.6,8,1,10.8,8,0,1,8,1,3.3,,8,2.9,8,1,,0,21.6,8,1,14.6,8,7.9,8,1,7.5,8
2025/12/2,14.4,8,1,10.7,8,0.0,0,8,1,3.2,,8,2.8,8,1,,0,18.3,8,1,14.4,8,11.6,8,1,7.4,8
2025/12/3,11.9,8,1,10.5,8,0.0,0,8,1,3.1,,8,2.8,8,1,,0,14.5,8,1,14.3,8,8.9,8,1,7.2,8
2025/12/4,7.9,8,1,10.4,8,0,1,8,1,3.1,,8,2.9,8,1,,0,11.4,8,1,14.1,8,5.5,8,1,7.0,8
2025/12/5,8.1,8,1,10.2,8,0,1,8,1,2.9,,8,2.8,8,1,,0,12.5,8,1,13.9,8,3.7,8,1,6.8,8
2025/12/6,7.7,8,1,10.0,8,0,1,8,1,2.8,,8,2.0,8,1,,0,11.5,8,1,13.7,8,3.6,8,1,6.6,8
2025/12/7,9.8,8,1,9.8,8,0,1,8,1,2.7,,8,1.8,8,1,,0,15.8,8,1,13.6,8,4.0,8,1,6.5,8
2025/12/8,12.4,8,1,9.7,8,0,1,8,1,2.6,,8,3.5,8,1,,0,18.6,8,1,13.4,8,6.2,8,1,6.3,8
2025/12/9,10.5,8,1,9.5,8,0,1,8,1,2.4,,8,3.5,8,1,,0,12.8,8,1,13.3,8,7.9,8,1,6.1,8
2025/12/10,9.4,8,1,9.3,8,0,1,8,1,2.3,,8,2.1,8,1,,0,13.3,8,1,13.1,8,5.6,8,1,6.0,8
2025/12/11,11.4,8,1,9.2,8,0,1,8,1,2.2,,8,3.7,8,1,,0,16.3,8,1,12.9,8,6.2,8,1,5.8,8
2025/12/12,7.8,8,1,9.0,8,0.0,0,8,1,2.1,,8,8.2,8,1,,0,14.2,8,1,12.8,8,4.3,8,1,5.6,8
2025/12/13,6.0,8,1,8.9,8,3.5,0,8,1,2.0,,8,3.4,8,1,,0,8.5,8,1,12.7,8,4.4,8,1,5.5,8
2025/12/14,5.8,8,1,8.8,8,19.5,0,8,1,1.9,,8,3.8,8,1,,0,9.0,8,1,12.6,8,3.1,8,1,5.4,8
2025/12/15,9.3,8,1,8.6,8,0,1,8,1,1.8,,8,3.7,8,1,,0,13.7,8,1,12.4,8,5.9,8,1,5.2,8
2025/12/16,8.9,8,1,8.5,8,0,1,8,1,1.7,,8,2.7,8,1,,0,12.4,8,1,12.3,8,6.3,8,1,5.1,8
2025/12/17,9.6,8,1,8.4,8,0,1,8,1,1.7,,8,2.6,8,1,,0,13.6,8,1,12.2,8,5.4,8,1,5.0,8
2025/12/18,10.0,8,1,8.3,8,0,1,8,1,1.6,,8,4.1,8,1,,0,13.4,8,1,12.1,8,7.5,8,1,4.9,8
2025/12/19,8.4,8,1,8.2,8,0.0,0,8,1,1.6,,8,2.8,8,1,,0,12.3,8,1,12.1,8,4.8,8,1,4.8,8
2025/12/20,9.5,8,1,8.1,8,16.5,0,8,1,1.6,,8,1.8,8,1,,0,13.0,8,1,12.0,8,6.7,8,1,4.7,8
2025/12/21,13.5,8,1,8.0,8,2.5,0,8,1,1.7,,8,3.3,8,1,,0,18.8,8,1,11.9,8,8.9,8,1,4.6,8
2025/12/22,10.2,8,1,7.9,8,0.0,0,8,1,1.7,,8,4.7,8,1,,0,12.8,8,1,11.8,8,6.0,8,1,4.5,8
2025/12/23,7.1,8,1,7.8,8,0,1,8,1,1.7,,8,3.4,8,1,,0,10.3,8,1,11.7,8,3.2,8,1,4.3,8
2025/12/24,7.2,8,1,7.7,8,7.0,0,8,1,1.7,,8,3.0,8,1,,0,9.1,8,1,11.6,8,5.1,8,1,4.2,8
2025/12/25,10.2,8,1,7.6,8,3.0,0,8,1,1.7,,8,2.3,8,1,,0,12.7,8,1,11.6,8,8.6,8,1,4.1,8
2025/12/26,7.8,8,1,7.5,8,0.0,0,8,1,1.7,,8,5.8,8,1,,0,11.5,8,1,11.5,8,3.0,8,1,4.0,8
2025/12/27,4.2,8,1,7.4,8,0,1,8,1,1.6,,8,3.4,8,1,,0,5.9,8,1,11.4,8,2.5,8,1,3.9,8
2025/12/28,6.4,8,1,7.3,8,0.0,0,8,1,1.6,,8,2.4,8,1,,0,12.0,8,1,11.3,8,1.1,8,1,3.8,8
2025/12/29,8.5,8,1,7.2,8,0.0,0,8,1,1.6,,8,2.8,8,1,,0,12.4,8,1,11.2,8,4.3,8,1,3.7,8
2025/12/30,9.9,8,1,7.1,8,0,1,8,1,1.5,,8,2.0,8,1,,0,15.1,8,1,11.2,8,5.0,8,1,3.6,8
2025/12/31,8.8,8,1,7.0,8,0,1,8,1,1.5,,8,2.3,8,1,,0,11.9,8,1,11.1,8,5.1,8,1,3.5,8
2026/1/1,7.4,8,1,6.9,8,0,1,8,1,1.5,,8,2.8,8,1,,0,9.9,8,1,11.0,8,4.8,8,1,3.4,8
2026/1/2,5.6,8,1,6.8,8,6.0,0,8,1,1.5,,8,3.8,8,1,,0,9.4,8,1,10.9,8,1.0,8,1,3.3,8
2026/1/3,5.1,8,1,6.8,8,0,1,8,1,1.5,,8,2.5,8,1,,0,9.4,8,1,10.8,8,1.2,8,1,3.3,8
2026/1/4,6.7,8,1,6.7,8,0,1,8,1,1.5,,8,2.0,8,1,,0,11.2,8,1,10.8,8,1.7,8,1,3.2,8
2026/1/5,8.1,8,1,6.6,8,0,1,8,1,1.6,,8,3.4,8,1,,0,13.9,8,1,10.7,8,2.6,8,1,3.1,8
2026/1/6,6.8,8,1,6.5,8,0.0,0,8,1,1.7,,8,4.3,8,1,,0,11.1,8,1,10.6,8,4.1,8,1,3.1,8
2026/1/7,4.6,8,1,6.5,8,0.0,0,8,1,1.7,,8,3.1,8,1,,0,7.1,8,1,10.5,8,3.0,8,1,3.0,8
2026/1/8,5.2,8,1,6.4,8,0.0,0,8,1,1.8,,8,4.4,8,1,,0,12.4,8,1,10.5,8,1.4,8,1,3.0,8
2026/1/9,6.2,8,1,6.3,8,0.0,0,8,1,1.9,,8,3.4,8,1,,0,10.3,8,1,10.4,8,1.9,8,1,2.9,8
2026/1/10,9.7,8,1,6.3,8,0.0,0,8,1,2.0,,8,6.2,8,1,,0,15.2,8,1,10.3,8,2.8,8,1,2.9,8
2026/1/11,10.7,8,1,6.2,8,0.0,0,8,1,2.1,,8,7.9,8,1,,0,15.2,8,1,10.2,8,2.5,8,1,2.8,8
2026/1/12,5.0,8,1,6.2,8,0,1,8,1,2.2,,8,2.9,8,1,,0,9.8,8,1,10.2,8,1.0,8,1,2.8,8
2026/1/13,9.6,8,1,6.1,8,0,1,8,1,2.2,,8,5.6,8,1,,0,15.4,8,1,10.1,8,1.9,8,1,2.7,8
2026/1/14,7.8,5,1,6.1,8,0,1,8,1,2.2,,8,2.8,8,1,,0,11.3,5,1,10.0,8,5.0,5,1,2.7,8
2026/1/15,8.1,8,1,6.0,8,0,1,8,1,2.3,,8,3.3,8,1,,0,12.6,8,1,10.0,8,2.9,8,1,2.6,8
2026/1/16,12.6,8,1,6.0,8,0,1,8,1,2.3,,8,2.9,8,1,,0,16.9,8,1,9.9,8,9.2,8,1,2.6,8
2026/1/17,10.0,8,1,5.9,8,0,1,8,1,2.3,,8,3.0,8,1,,0,13.8,8,1,9.8,8,5.6,8,1,2.6,8
2026/1/18,9.5,8,1,5.9,8,0,1,8,1,2.3,,8,3.4,8,1,,0,13.2,8,1,9.8,8,6.4,8,1,2.5,8
2026/1/19,9.7,8,1,5.9,8,0,1,8,1,2.3,,8,2.9,5,1,,0,13.8,5,1,9.8,8,5.9,5,1,2.5,8
2026/1/20,6.6,8,1,5.9,8,0,1,8,1,2.3,,8,6.2,8,1,,0,9.0,8,1,9.8,8,2.6,8,1,2.5,8
2026/1/21,3.7,8,1,5.8,8,0.0,0,8,1,2.3,,8,4.2,8,1,,0,6.5,8,1,9.8,8,2.4,8,1,2.4,8
2026/1/22,3.3,8,1,5.8,8,0,1,8,1,2.3,,8,3.5,8,1,,0,7.3,8,1,9.8,8,0.6,8,1,2.4,8
2026/1/23,4.4,8,1,5.8,8,0,1,8,1,2.3,,8,2.2,8,1,,0,9.1,8,1,9.8,8,0.0,8,1,2.4,8
2026/1/24,5.3,8,1,5.9,8,0,1,8,1,2.4,,8,3.5,8,1,,0,10.6,8,1,9.8,8,0.2,8,1,2.4,8
2026/1/25,4.2,8,1,5.9,8,0,1,8,1,2.4,,8,4.7,8,1,,0,7.7,8,1,9.9,8,1.6,8,1,2.4,8
2026/1/26,4.8,8,1,5.9,8,0.0,0,8,1,2.4,,8,3.3,8,1,,0,9.0,8,1,9.9,8,1.7,8,1,2.4,8
2026/1/27,5.8,8,1,5.9,8,0.0,0,8,1,2.3,,8,2.7,8,1,,0,9.2,8,1,9.9,8,2.8,8,1,2.4,8
2026/1/28,6.0,8,1,5.9,8,0,1,8,1,2.3,,8,4.5,8,1,,0,7.8,8,1,10.0,8,4.0,8,1,2.4,8
2026/1/29,5.2,8,1,6.0,8,0.0,0,8,1,2.3,,8,2.9,8,1,,0,9.4,8,1,10.0,8,2.3,8,1,2.4,8
2026/1/30,4.1,8,1,6.0,8,0,1,8,1,2.3,,8,3.1,8,1,,0,8.7,8,1,10.1,8,0.2,8,1,2.4,8
2026/1/31,4.9,8,1,6.0,8,0,1,8,1,2.2,,8,3.3,8,1,,0,9.3,8,1,10.1,8,1.2,8,1,2.4,8
2026/2/1,6.2,8,1,6.0,8,0,1,8,1,2.1,,8,2.5,8,1,,0,11.4,8,1,10.2,8,1.2,8,1,2.4,8
2026/2/2,6.9,8,1,6.1,8,0.0,0,8,1,2.0,,8,2.9,8,1,,0,10.8,8,1,10.2,8,3.1,8,1,2.5,8
2026/2/3,6.7,8,1,6.1,8,0,1,8,1,2.0,,8,4.1,8,1,,0,11.1,8,1,10.2,8,2.8,8,1,2.5,8
2026/2/4,6.8,8,1,6.1,8,0,1,8,1,1.9,,8,2.4,8,1,,0,10.6,8,1,10.3,8,2.2,8,1,2.5,8
2026/2/5,8.4,8,1,6.1,8,0,1,8,1,1.9,,8,2.1,8,1,,0,12.1,8,1,10.3,8,4.2,8,1,2.5,8
2026/2/6,9.5,8,1,6.2,8,0,1,8,1,1.8,,8,3.1,8,1,,0,15.5,8,1,10.4,8,4.2,8,1,2.6,8
2026/2/7,3.6,8,1,6.2,8,0.5,0,8,1,1.8,,8,4.9,8,1,,0,7.3,8,1,10.4,8,1.3,8,1,2.6,8
2026/2/8,0.2,8,1,6.2,8,4.0,0,8,1,1.9,,8,4.7,8,1,,0,3.2,8,1,10.5,8,-1.3,8,1,2.6,8
2026/2/9,3.0,8,1,6.3,8,0,1,8,1,1.9,,8,3.4,8,1,,0,9.0,8,1,10.5,8,-3.4,8,1,2.6,8
2026/2/10,6.6,8,1,6.3,8,0,1,8,1,2.0,,8,3.1,8,1,,0,11.4,8,1,10.6,8,1.3,8,1,2.7,8
2026/2/11,8.4,8,1,6.4,8,10.5,0,8,1,2.1,,8,3.9,8,1,,0,12.2,8,1,10.6,8,3.9,8,1,2.7,8
2026/2/12,7.5,8,1,6.5,8,0.0,0,8,1,2.2,,8,3.2,8,1,,0,10.7,8,1,10.7,8,5.3,8,1,2.8,8
2026/2/13,7.7,8,1,6.5,8,0.0,0,8,1,2.3,,8,2.1,8,1,,0,11.8,8,1,10.7,8,3.7,8,1,2.8,8
2026/2/14,9.5,8,1,6.6,8,0,1,8,1,2.4,,8,2.2,8,1,,0,13.7,8,1,10.8,8,4.6,8,1,2.9,8
2026/2/15,12.6,8,1,6.6,8,0,1,8,1,2.5,,8,2.7,8,1,,0,17.8,8,1,10.8,8,8.2,8,1,3.0,8
2026/2/16,10.6,8,1,6.7,8,5.0,0,8,1,2.5,,8,3.9,8,1,,0,14.6,8,1,10.9,8,4.9,8,1,3.0,8
2026/2/17,6.3,8,1,6.8,8,2.0,0,8,1,2.6,,8,2.8,8,1,,0,8.7,8,1,10.9,8,3.9,8,1,3.1,8
2026/2/18,8.0,8,1,6.8,8,0,1,8,1,2.7,,8,3.2,8,1,,0,11.1,8,1,11.0,8,5.0,8,1,3.2,8
2026/2/19,6.1,8,1,6.9,8,0,1,8,1,2.7,,8,5.4,8,1,,0,11.2,8,1,11.1,8,2.5,8,1,3.3,8
2026/2/20,6.3,8,1,7.0,8,0,1,8,1,2.8,,8,2.9,8,1,,0,9.9,8,1,11.1,8,2.8,8,1,3.4,8
2026/2/21,9.2,8,1,7.1,8,0,1,8,1,2.9,,8,2.4,8,1,,0,14.0,8,1,11.2,8,4.1,8,1,3.5,8
2026/2/22,12.2,8,1,7.2,8,0,1,8,1,3.0,,8,4.2,8,1,,0,17.5,8,1,11.3,8,6.0,8,1,3.6,8
2026/2/23,17.3,8,1,7.3,8,0.0,0,8,1,3.1,,8,6.1,8,1,,0,21.8,8,1,11.4,8,12.5,8,1,3.7,8
2026/2/24,13.7,8,1,7.4,8,0.0,0,8,1,3.3,,8,1.9,5,1,,0,17.1,8,1,11.5,8,11.4,8,1,3.8,8
2026/2/25,9.7,8,1,7.5,8,50.5,0,8,1,3.6,,8,4.3,8,1,,0,12.9,8,1,11.6,8,6.7,8,1,3.9,8
2026/2/26,9.1,8,1,7.6,8,0.5,0,8,1,3.8,,8,7.2,8,1,,0,12.7,8,1,11.7,8,5.9,8,1,4.0,8
2026/2/27,11.4,8,1,7.7,8,0,1,8,1,4.0,,8,2.9,8,1,,0,14.7,8,1,11.8,8,7.6,8,1,4.1,8
2026/2/28,14.1,8,1,7.8,8,0.0,0,8,1,4.2,,8,3.0,8,1,,0,20.8,8,1,11.9,8,10.7,8,1,4.2,8
2026/3/1,12.9,8,1,7.9,8,0.0,0,8,1,4.3,,8,2.7,8,1,,0,16.6,8,1,12.0,8,9.0,8,1,4.3,8
2026/3/2,11.7,8,1,8.0,8,0.0,0,8,1,4.5,,8,3.3,8,1,,0,13.4,8,1,12.1,8,9.7,8,1,4.4,8
2026/3/3,8.0,8,1,8.1,8,28.5,0,8,1,4.6,,8,6.2,8,1,,0,11.7,8,1,12.2,8,5.2,8,1,4.5,8
2026/3/4,9.7,8,1,8.2,8,22.0,0,8,1,4.6,,8,8.2,8,1,,0,16.2,8,1,12.4,8,5.2,8,1,4.6,8
2026/3/5,10.6,8,1,8.3,8,0,1,8,1,4.6,,8,4.8,8,1,,0,16.5,8,1,12.5,8,7.0,8,1,4.7,8
2026/3/6,10.0,8,1,8.4,8,0,1,8,1,4.5,,8,2.2,8,1,,0,13.4,8,1,12.6,8,6.0,8,1,4.7,8
2026/3/7,12.6,8,1,8.5,8,5.5,0,8,1,4.5,,8,4.8,8,1,,0,18.1,8,1,12.7,8,8.0,8,1,4.8,8
2026/3/8,8.0,8,1,8.6,8,0.0,0,8,1,4.4,,8,5.1,8,1,,0,12.7,8,1,12.9,8,4.0,8,1,4.9,8
2026/3/9,8.2,8,1,8.8,8,0,1,8,1,4.2,,8,3.6,8,1,,0,12.0,8,1,13.1,8,5.1,8,1,5.0,8
2026/3/10,5.4,8,1,8.9,8,0.5,0,8,1,4.1,,8,4.8,8,1,,0,9.4,8,1,13.2,8,3.3,8,1,5.1,8
2026/3/11,7.0,8,1,9.0,8,0.0,0,8,1,4.0,,8,3.0,8,1,,0,11.4,8,1,13.4,8,3.2,8,1,5.2,8
2026/3/12,8.7,8,1,9.2,8,0.0,0,8,1,3.9,,8,3.5,8,1,,0,12.9,8,1,13.5,8,5.9,8,1,5.4,8
2026/3/13,7.7,8,1,9.3,8,0,1,8,1,3.9,,8,3.8,8,1,,0,9.4,8,1,13.7,8,5.4,8,1,5.5,8
2026/3/14,10.1,8,1,9.5,8,0,1,8,1,3.8,,8,4.6,8,1,,0,14.0,8,1,13.9,8,6.8,8,1,5.7,8
2026/3/15,11.0,8,1,9.7,8,0.0,0,8,1,3.8,,8,2.6,8,1,,0,14.6,8,1,14.0,8,6.5,8,1,5.8,8
2026/3/16,10.0,8,1,9.8,8,4.0,0,8,1,3.8,,8,2.4,8,1,,0,12.5,8,1,14.2,8,7.1,8,1,6.0,8
